,,,,,,,,,,,,,,,,,
"“Talk2U - AI Training Set (CSEF)"" is made available with a CC BY-SA license.",,,,,,,,,,,,,,,,,
"This license allows reusers to distribute, remix, adapt, and build upon the material in any medium or format, so long as attribution is given to the creator. The license allows for commercial use. If you remix, adapt, or build upon the material, you must license the modified material under identical terms.",,,,,,,,,,,,,,,,,
Attributions to Talk2U,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,id,repository_version,text,intent,language,created_at,entities,,,,,,,,translations
,,,,,,,,,id,repository_example,start,end,entity,group,created_at,value,
645,,,1238148,2811,O que vc fez é errado.,criticar,pt_br,2023-04-28T18:22:46.447114Z,,,,,,,,,
,,,1238147,2811,esse tipo de gente eu desprezo,criticar,pt_br,2023-04-28T18:22:22.417875Z,,,,,,,,,
,,,1238146,2811,nao compartilho da sua opinião,criticar,pt_br,2023-04-28T18:22:04.394299Z,,,,,,,,,
,,,1238145,2811,ta com inveja,criticar,pt_br,2023-04-28T18:21:01.659187Z,,,,,,,,,
,,,1238144,2811,vai se tratar,criticar,pt_br,2023-04-28T18:20:43.265825Z,,,,,,,,,
,,,1238143,2811,respeita o mlk,criticar,pt_br,2023-04-28T18:20:28.095453Z,,,,,,,,,
,,,1238142,2811,Não vou ouvir,negar,pt_br,2023-04-28T18:19:59.104208Z,,,,,,,,,
,,,1238141,2811,Vc deve refletir um pouco mais,criticar,pt_br,2023-04-28T18:19:34.532964Z,869059,1238141,0,1,bot,,2023-04-28T18:19:34.572386Z,V,
,,,1238140,2811,respeito a diversidade,defender,pt_br,2023-04-28T18:19:12.049042Z,,,,,,,,,
,,,1238139,2811,Espero que dê em punição pra vc.,acusar,pt_br,2023-04-28T18:18:23.643752Z,,,,,,,,,
,,,1238138,2811,Acho que você tá nervoso,criticar,pt_br,2023-04-28T18:17:58.834477Z,,,,,,,,,
,,,1238137,2811,Vai viver tua vida,criticar,pt_br,2023-04-28T18:17:30.033912Z,,,,,,,,,
,,,1238136,2811,não teve graça.,criticar,pt_br,2023-04-28T18:17:08.945411Z,,,,,,,,,
,,,1238135,2811,Vai dar processo mesmo,acusar,pt_br,2023-04-28T18:16:51.185389Z,,,,,,,,,
,,,1238134,2811,Só estou vendo alguém se defendendo,defender,pt_br,2023-04-28T18:16:10.816040Z,,,,,,,,,
,,,1238133,2811,Do que?,duvida,pt_br,2023-04-28T18:12:07.261844Z,,,,,,,,,
,,,1238132,2811,Tô com ela nessa.,defender,pt_br,2023-04-28T18:09:54.076084Z,869058,1238132,14,17,character,,2023-04-28T18:09:54.118997Z,sa.,
,,,1238131,2811,"Cadeia para homofóbico, espero eu",acusar,pt_br,2023-04-28T18:09:29.457041Z,869056,1238131,31,33,bot,,2023-04-28T18:09:29.508432Z,eu,
,,,1238130,2811,tomara q tu se foda,xingar,pt_br,2023-04-28T18:06:54.155836Z,869055,1238130,25,27,bot,,2023-04-28T18:06:54.218208Z,,
,,,1238057,2811,mto eu,identificar,pt_br,2023-04-28T17:25:03.209533Z,,,,,,,,,
,,,1238055,2811,real dms,identificar,pt_br,2023-04-28T17:24:54.735145Z,,,,,,,,,
,,,1238053,2811,igualzinho,identificar,pt_br,2023-04-28T17:24:31.159845Z,,,,,,,,,
,,,1238052,2811,assim mesmo,identificar,pt_br,2023-04-28T17:24:21.868716Z,,,,,,,,,
,,,1238050,2811,igual aqui,identificar,pt_br,2023-04-28T17:24:11.476901Z,,,,,,,,,
,,,1238048,2811,sei bem,identificar,pt_br,2023-04-28T17:23:57.734419Z,,,,,,,,,
,,,1238046,2811,já me senti assim,identificar,pt_br,2023-04-28T17:23:32.402670Z,,,,,,,,,
,,,1238041,2811,adorei,elogiar,pt_br,2023-04-28T17:21:41.732893Z,,,,,,,,,
,,,1238035,2811,gostei,elogiar,pt_br,2023-04-28T17:20:14.777993Z,,,,,,,,,
,,,1238027,2811,que merda,xingar,pt_br,2023-04-28T17:17:49.153751Z,,,,,,,,,
,,,1238019,2811,vc esta cometendo um crime,acusar,pt_br,2023-04-28T17:15:23.542320Z,,,,,,,,,
,,,1238012,2811,vc esta errado,acusar,pt_br,2023-04-28T17:12:01.447063Z,,,,,,,,,
,,,1238007,2811,isso é muito errado,acusar,pt_br,2023-04-28T17:09:06.771372Z,,,,,,,,,
,,,1238006,2811,vc se confundiu,engano,pt_br,2023-04-28T16:29:13.890599Z,,,,,,,,,
,,,1238005,2811,não sou eu ai,engano,pt_br,2023-04-28T16:27:50.139752Z,,,,,,,,,
,,,1238004,2811,deve ser,duvida,pt_br,2023-04-28T16:21:12.191091Z,,,,,,,,,
,,,1238003,2811,não sei ao certo,duvida,pt_br,2023-04-28T16:15:22.244765Z,,,,,,,,,
,,,1214190,2811,nao to conseguindo ver,negar,pt_br,2023-04-03T18:56:47.271664Z,,,,,,,,,
,,,1214189,2811,nao da pra ver,negar,pt_br,2023-04-03T18:55:51.520319Z,,,,,,,,,
,,,1214188,2811,não consegui ver,negar,pt_br,2023-04-03T18:55:43.542884Z,,,,,,,,,
,,,1214187,2811,nao consigo ver pq não carrega,negar,pt_br,2023-04-03T18:55:35.887335Z,,,,,,,,,
,,,1214186,2811,como vou ver se nao carrega,negar,pt_br,2023-04-03T18:55:26.940949Z,,,,,,,,,
,,,1214185,2811,"não carrega, como vou ver",negar,pt_br,2023-04-03T18:55:16.119679Z,,,,,,,,,
,,,1214184,2811,que falta de respeito,criticar,pt_br,2023-04-03T18:39:03.815221Z,,,,,,,,,
,,,1214183,2811,que falta de respeito é essa,criticar,pt_br,2023-04-03T18:38:49.653085Z,,,,,,,,,
,,,1214182,2811,isso é mt falta de respeito,criticar,pt_br,2023-04-03T18:38:32.164207Z,,,,,,,,,
,,,1214181,2811,que falta de respeito isso,criticar,pt_br,2023-04-03T18:36:30.324544Z,,,,,,,,,
,,,1214180,2811,nao chegou,negar,pt_br,2023-04-03T18:25:12.209069Z,,,,,,,,,
,,,1214179,2811,nao ta carregando,negar,pt_br,2023-04-03T18:24:59.700849Z,,,,,,,,,
,,,1214178,2811,não tá funcionando,negar,pt_br,2023-04-03T18:24:49.913379Z,,,,,,,,,
,,,1214177,2811,nao funcionou,negar,pt_br,2023-04-03T18:24:41.251624Z,,,,,,,,,
,,,1214176,2811,nao carregou,negar,pt_br,2023-04-03T18:24:31.340699Z,,,,,,,,,
,,,1214175,2811,nao carrega,negar,pt_br,2023-04-03T18:24:23.723520Z,,,,,,,,,
,,,1214174,2811,que horror atacar alguém,criticar,pt_br,2023-04-03T18:22:51.144106Z,,,,,,,,,
,,,1214173,2811,que horror dizer isso,criticar,pt_br,2023-04-03T18:22:34.868208Z,,,,,,,,,
,,,1214172,2811,coisa feia falar isso,criticar,pt_br,2023-04-03T16:16:31.340719Z,,,,,,,,,
,,,1214171,2811,nao tem vergonha de falar isso,criticar,pt_br,2023-04-03T16:15:20.694761Z,,,,,,,,,
,,,1214170,2811,nao pode dizer isso,criticar,pt_br,2023-04-03T16:15:07.425063Z,,,,,,,,,
,,,1214169,2811,vc nao pode falar isso,criticar,pt_br,2023-04-03T16:14:40.322439Z,852487,1214169,0,2,bot,,2023-04-03T16:14:40.377884Z,vc,
,,,1214168,2811,para de falar isso,criticar,pt_br,2023-04-03T16:14:02.391534Z,,,,,,,,,
,,,1214167,2811,não pode falar isso,criticar,pt_br,2023-04-03T16:13:32.653115Z,,,,,,,,,
,,,1214166,2811,aff nada a ver,criticar,pt_br,2023-04-03T15:43:23.262893Z,,,,,,,,,
,,,1214165,2811,aff sério isso,criticar,pt_br,2023-04-03T15:42:53.723215Z,,,,,,,,,
,,,1214164,2811,afff,criticar,pt_br,2023-04-03T15:31:41.863564Z,,,,,,,,,
,,,1214163,2811,voce deveria pedir desculpas,criticar,pt_br,2023-04-03T15:18:10.439462Z,852482,1214163,0,4,bot,,2023-04-03T15:18:10.479855Z,voce,
,,,1214162,2811,é melhor você pedir desculpa,criticar,pt_br,2023-04-03T15:17:53.395880Z,852481,1214162,9,13,bot,,2023-04-03T15:17:53.452860Z,você,
,,,1214161,2811,vc deveria se desculpar,criticar,pt_br,2023-04-03T15:17:38.097484Z,852480,1214161,0,2,bot,,2023-04-03T15:17:38.154088Z,vc,
,,,1214160,2811,que porra é essa,xingar,pt_br,2023-04-03T14:57:12.815601Z,,,,,,,,,
,,,1214159,2811,wtf,xingar,pt_br,2023-04-03T14:57:04.742572Z,,,,,,,,,
,,,1214158,2811,infelizmente nunca,negar,pt_br,2023-04-03T14:53:56.443467Z,,,,,,,,,
,,,1214157,2811,infelizmente não,negar,pt_br,2023-04-03T14:53:43.163145Z,,,,,,,,,
,,,1214156,2811,recebi sim infelizmente,afirmar,pt_br,2023-04-03T14:53:30.115685Z,,,,,,,,,
,,,1214155,2811,infelizmente chegou,afirmar,pt_br,2023-04-03T14:53:20.148270Z,,,,,,,,,
,,,1214149,2811,que horrível,xingar,pt_br,2023-04-03T14:50:48.168511Z,,,,,,,,,
,,,1214147,2811,vc acha que isso vai me afetar?,defender,pt_br,2023-04-03T14:50:11.244871Z,852478,1214147,21,23,character,,2023-04-03T14:50:11.407665Z,me,
,,,1214146,2811,isso não me afeta,defender,pt_br,2023-04-03T14:49:54.951827Z,852477,1214146,9,11,character,,2023-04-03T14:49:54.988171Z,me,
,,,1214137,2811,vc não vai me atingir,defender,pt_br,2023-04-03T14:40:19.327667Z,852473,1214137,11,13,character,,2023-04-03T14:40:19.363507Z,me,
,,,1214136,2811,isso não me atinge,defender,pt_br,2023-04-03T14:39:53.752081Z,852472,1214136,9,11,character,,2023-04-03T14:39:53.792468Z,me,
,,,1214135,2811,espero que não dê,negar,pt_br,2023-04-03T14:39:34.236299Z,,,,,,,,,
,,,1214134,2811,espero que dê,afirmar,pt_br,2023-04-03T14:39:22.813023Z,,,,,,,,,
,,,1214133,2811,espero que sim,afirmar,pt_br,2023-04-03T14:39:15.152866Z,,,,,,,,,
,,,1214132,2811,espero que não,negar,pt_br,2023-04-03T14:39:04.497606Z,,,,,,,,,
,,,1214131,2811,não carrega,negar,pt_br,2023-04-03T14:38:55.769399Z,,,,,,,,,
,,,1214130,2811,não carregou,negar,pt_br,2023-04-03T14:38:47.262472Z,,,,,,,,,
,,,1214113,2811,não fala isso,criticar,pt_br,2023-04-03T14:06:42.499730Z,,,,,,,,,
,,,1214112,2811,certa ela,defender,pt_br,2023-04-03T14:06:29.466805Z,852467,1214112,6,9,character,,2023-04-03T14:06:29.518536Z,ela,
,,,1214111,2811,para com essas coisas,criticar,pt_br,2023-04-03T14:02:34.918252Z,,,,,,,,,
