This Talk2U-CSEF-hate-speech-pilot-dataset is made available under the Open Data Commons Attribution License: http://opendatacommons.org/licenses/by/1.0/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content from the Talk2U-CSEF-hate-speech-pilot-dataset is made available under the CC BY-NC. Attibutions to Talk2U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AM2,,,,,,,,,,,,AP,,,,,,,,,,,TAP,DP,,HTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Created On,Last Seen On,Field:age,Field:artigo,Field:Chat story,Field:Chat story duration,Field:Chat story end,Field:Chat story start,Field:Chosen Host,Field:feedback interventions,Field:Gender,Field:General checkpoint,Field:Hate Speech Profile,Field:interventions count,Field:plural,Field:reason to stop,Field:Total interventions,Field:Consent term,Field:Start experience,Field:Privacy Policy,Field:I Coping 1,Field:I Coping 3,Field:I Coping 5,Field:I Coping 8,Field:I Digital Behavior,Field:I happiness Baseline,Field:I happiness W2,Field:I location,Field:I PANAS 1,Field:I PANAS 2,Field:I PANAS 3,Field:I PANAS 4,Field:I PANAS 5,Field:I PANAS 6,Field:I SES Instruction,Field:I SES Instruction chefe,Field:I SWL,Field:W1 Digital Behavior,Field:W1 Happiness,Field:W1 SWL,Field:I age,Field:I Gender,Field:I gender other,Field:I race,Field:I Coping 2,Field:I Coping 4,Field:I Coping 6,Field:I Coping 7,Field:Baseline end,Field:I HS Envolvement,Field:I HS Envolvement Reaction,Field:Last flow uuid,Field:SH checkpoint,Field:KN checkpoint,Field:AM2 Checkpoint,Field:AM2 duration,Field:AM2 end,Field:AM2 IND END,Field:AM2 Helpfulness,Field:AM2 Helpfulness motive,Field:AM2 Helpfulness motive quali,Field:AM2 initial anger function,Field:AM2 IND start,Field:AM2 Start,Field:AM2 Understanding,Field:AM2 understanding quali,Field:AP Checkpoint,Field:AP Duration,Field:AP End,Field:AP IND end,Field:AP Helpfulness,Field:AP helpfulness motive quali,Field:AP Helpfulness quali,Field:AP IND start,Field:AP start,Field:AP Understanding,Field:AP understanding quali,Field:TAP checkpoint,Field:DP IND start,Field:Kindness End,Field:HPT Helpfulness motive quali,Field:HTP Checkpoint,Field:HTP Duration,Field:HTP end,Field:HTP IND END,Field:HTP Helpfulness,Field:HTP Helpfulness motive,Field:HTP IND start,Field:HTP Start,Field:HTP Understanding,Field:HTP Understanding quali,Field:interventions missing,Field:Kidness understanding,Field:Kindness helpfulness motive,Field:Kindness helpfulness motive quali,Field:Kindness understanding quali,Field:TAP IND END,Field:SH helpfulness,Field:SH IND start,Field:SC3 Duration,Field:Kindness IND end,Field:Kindness Helpfulness,Field:Kindness IND start,Field:SH Duration,Field:SH end,Field:SH IND end,Field:SH Helpfulness motive,Field:SH Helpfulness motive quali,Field:SH Start,Field:SH Understanding,Field:SH Understanding quali,Field:SM anger function end,Field:SS checkpoint,Field:SS Duration,Field:SS end,Field:ss IND END,Field:SS helpfulness,Field:SS Helpfulness motivo,Field:SS helpfulness motivo quali,Field:ss IND start,Field:ss start,Field:SS Understanding,Field:SS Understanding quali,Field:Kindness Start,Field:TAP duration,Field:TAP end,Field:TAP Helpfulness,Field:TAP Helpfulness motive,Field:TAP helpfulness motive quali,Field:TAP start,Field:TAP Understanding,Field:TAP understanding quali,Field:TimeMsg,Field:wait,Field:drop out bug other,Field:drop out bugs,Field:drop out more reminders,Field:drop out part,Field:drop out part all,Field:drop out part all open,Field:drop out part other,Field:drop out part strategies,Field:drop out part strategies open,Field:drop out suggestion,Field:dropout part stories,Field:dropout part stories open,Field:Help flow,Field:reason to stop open,Field:UT3HS w1,Field:UT3HS w2,Field:Last finish day,Field:Last finish month,Field:Last finish year,Field:Today interventions,Field:Story interrupted,Field:Choice,Field:W1 PANAS 5,Field:Origin,Field:reason to stop research,Field:W2 - Wave 2,Field:W2 - SWL,Field:W2 - I Coping 1,Field:W2 - I Coping 3,Field:W2 - I Coping 5,Field:W2 - I Coping 6,Field:W2 - I Coping 8,Field:W2 - I Coping 9,Field:W2 - I Coping 12,Field:W2 - I Coping 13
61337624,2023-04-11 9:07:34,2023-04-11 9:14:01,,o,Gordofobia - Observer,,,2023-04-11T09:09:20.980875-03:00,,0,Masculino,CS - Gordofobia - Observer - 2,,0,os,,,Yes,2023-04-11T09:07:35.277759-03:00,Yes,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,3eec0df0-e869-4909-a993-136f553691f1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-04-2023 09:13,"""""",,,,,,,,,,,,,,,,,,,,,,,,Press release - recruitment,,,,,,,,,,,
61095232,2023-04-10 23:17:31,2023-04-27 17:40:11,,a,,,,,,,,Research Wave 1,Observer - Don't React,0,as,,2,Yes,2023-04-10T23:17:31.547308-03:00,Yes,Não sei dizer,Provavelmente não,Provavelmente,Provavelmente não,,8,,MG,,,,,,,4,5,9,,,,19,Female,,Branco,Provavelmente,Definitivamente,Provavelmente,Provavelmente não,2023-04-11T10:27:51.769036-03:00,Observer,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNICEF - recruitment,,W2 - Research,,,,,,,,,
61095915,2023-04-11 0:28:13,2023-04-24 16:43:03,,a,,,,,1,,,HTP_7,Never Experienced,1,as,,2,Yes,2023-04-11T00:28:13.422679-03:00,Yes,Provavelmente não,Provavelmente,Provavelmente,Definitivamente não,,7,,Sp,,,,,,,5,5,7,,6,5,24,Female,,Branco,Provavelmente,Definitivamente,Definitivamente,Provavelmente não,2023-04-11T00:35:45.401013-03:00,Never had contact,,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acho que continua tendo impacto na saúde mental uma vez que o comentário já foi feito,7,3521,2023-04-14T01:00:52.508559-03:00,8,6,C,7,2023-04-11T14:19:25.933812-03:00,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-04-2023 00:29,,,,,,,,,,,,,,,,,,14,04,2023,1,,Jonas,,UNICEF - recruitment,,W2 - Research,,,,,,,,,
60693158,2023-04-04 19:08:14,2023-04-22 20:07:01,,a,,,,,,,,Research Wave 1,Never Experienced,0,as,,2,Yes,2023-04-04T19:08:15.057674-03:00,Yes,Não sei dizer,Provavelmente,Definitivamente,Definitivamente não,,8,,MG,,,,,,,5,4,8,,10,8,24,Female,,Branco,Provavelmente,Definitivamente,Definitivamente,Provavelmente não,2023-04-04T19:15:48.557825-03:00,Never had contact,,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social media recruitment,,W2 - Research,,,,,,,,,
60358584,2023-03-25 16:20:13,2023-04-27 17:40:08,,a,,,,,,,,Screening,Observer - Don't React,0,as,,2,Yes,2023-03-25T16:20:13.964210-03:00,Yes,Provavelmente,Provavelmente,Não sei dizer,Não sei dizer,,4,,BA,,,,,,,4,5,5,,0,4,21,Female,,Pardo,Não,Definitivamente,Provavelmente não,Provavelmente não,2023-03-25T18:44:47.601409-03:00,Observer,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W2 - Research,,,,,,,,,
61095411,2023-04-10 23:32:06,2023-04-24 19:51:18,,a,,,,,,,,Research Wave 1,Victim - React,0,as,,7,Yes,2023-04-10T23:32:06.821376-03:00,Yes,Definitivamente,Provavelmente não,Provavelmente não,Não sei dizer,,5,7,AL,,,,,,,4,5,6,,6,6,25,Female,,Pardo,Definitivamente não,Definitivamente,Definitivamente,Definitivamente não,2023-04-10T23:39:16.736613-03:00,Victim,React,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNICEF - recruitment,,W2 - Research,5,Definitivamente,Provavelmente não,Não sei dizer,Provavelmente,Provavelmente,Definitivamente,Definitivamente não,Definitivamente não
60325628,2023-03-23 21:27:02,2023-03-23 21:51:56,17,a,Gordofobia - Victim,,,2023-03-23T21:28:24.828307-03:00,2,0,Feminino,7,Observer - Don't React,1,as,,2,Yes,2023-03-23T21:27:02.948380-03:00,Yes,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,Observer,Don't react,8546e806-4d8b-4eb2-a1ef-83cf674f9bcb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,7,8,2023-03-23T21:51:14.599465-03:00,9,9,,,7,2023-03-23T21:42:45.050462-03:00,5,,,,,,,,,,,23-03-2023 21:45,"""""",,,,,,,,,,,,,,,,,23,03,2023,1,,Fernanda,,AOF recruitment,,,,,,,,,,,
61440352,2023-04-14 10:50:18,2023-04-27 17:43:42,,a,,,,,,,,Research Wave 1,Observer - Don't React,0,as,,2,Yes,2023-04-14T10:50:18.353623-03:00,Yes,Definitivamente,Não sei dizer,Definitivamente,Definitivamente não,,9,,AC,,,,,,,5,4,8,,8,9,24,Female,,Branco,Definitivamente,Definitivamente,Provavelmente,Provavelmente não,2023-04-14T11:13:06.819352-03:00,Observer,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNICEF - recruitment,,W2 - Research,9,Definitivamente,Provavelmente não,Não sei dizer,Definitivamente,Definitivamente,Provavelmente,Não sei dizer,Definitivamente não
